question_text,gold_answer,gold_sections,retrieved_docs_count,retrieved_sections,context_length,bot_answer,bot_relevant_law,predicted_sections,raw_response,section_recall,section_mrr,section_hit_rate,retrieval_recall,retrieval_mrr,retrieval_hit_rate,answer_similarity
ถ้าผู้ิยู่ในปกครองได้ยินยอมในการกระทำของผู้ปกครองจะทำให้ผู้ปกครองหลุดพ้นจากความรับผิดหรือเปล่า,การที่ผู้อยู่ในปกครองได้ยินยอมด้วยนั้นไม่ได้คุ้มครองผู้ปกครองให้พ้นจากความรับผิด,"['1598/5', '1598']",10,"['1569/1', '1587', '1589', '1584', '1584/1', '1585', '1598/6', '1598/7', '1598/8']",3369,การที่ผู้ที่อยู่ในปกครองได้ยินยอมในการกระทำของผู้ปกครอง ไม่ได้ทำให้ผู้ปกครองหลุดพ้นจากความรับผิดเสมอไป โดยเฉพาะอย่างยิ่งหากผู้เยาว์ยังไม่บรรลุนิติภาวะ การกระทำของผู้ปกครองอาจถูกเพิกถอนโดยศาลได้ (มาตรา ๑๕๖๙/๑) และการเพิกถอนคำสั่งตั้งผู้ปกครองจะไม่กระทบสิทธิของบุคคลภายนอกที่กระทำโดยสุจริต เว้นแต่ในกรณีที่ต้องห้าม (มาตรา ๑๕๘๗) นอกจากนี้ การที่ผู้ใช้อำนาจปกครองถูกถอนอำนาจปกครองบางส่วน ไม่เป็นเหตุให้ผู้นั้นพ้นจากหน้าที่อุปการะเลี้ยงดูผู้เยาว์ (มาตรา ๑๕๘๔) และความเป็นผู้ปกครองจะสิ้นสุดลงเมื่อผู้ปกครองตาย ลาออก ถูกถอนโดยคำสั่งศาล หรือสถานการณ์อื่นๆ ตามที่กำหนดไว้ในมาตรา ๑๕๙๘/๗ และ ๑๕๙๘/๘,"มาตรา ๑๕๖๙/๑, มาตรา ๑๕๘๔, มาตรา ๑๕๘๙, มาตรา ๑๕๘๕, มาตรา ๑๕๙๘/๖, มาตรา ๑๕๙๘/๗, มาตรา ๑๕๙๘/๘","['1569/1', '1584', '1589', '1585', '1598/6', '1598/7', '1598/8']","```json
{
    ""sections"": ""มาตรา ๑๕๖๙/๑, มาตรา ๑๕๘๔, มาตรา ๑๕๘๙, มาตรา ๑๕๘๕, มาตรา ๑๕๙๘/๖, มาตรา ๑๕๙๘/๗, มาตรา ๑๕๙๘/๘"",
    ""ans"":""การที่ผู้ที่อยู่ในปกครองได้ยินยอมในการกระทำของผู้ปกครอง ไม่ได้ทำให้ผู้ปกครองหลุดพ้นจากความรับผิดเสมอไป โดยเฉพาะอย่างยิ่งหากผู้เยาว์ยังไม่บรรลุนิติภาวะ การกระทำของผู้ปกครองอาจถูกเพิกถอนโดยศาลได้ (มาตรา ๑๕๖๙/๑) และการเพิกถอนคำสั่งตั้งผู้ปกครองจะไม่กระทบสิทธิของบุคคลภายนอกที่กระทำโดยสุจริต เว้นแต่ในกรณีที่ต้องห้าม (มาตรา ๑๕๘๗) นอกจากนี้ การที่ผู้ใช้อำนาจปกครองถูกถอนอำนาจปกครองบางส่วน ไม่เป็นเหตุให้ผู้นั้นพ้นจากหน้าที่อุปการะเลี้ยงดูผู้เยาว์ (มาตรา ๑๕๘๔) และความเป็นผู้ปกครองจะสิ้นสุดลงเมื่อผู้ปกครองตาย ลาออก ถูกถอนโดยคำสั่งศาล หรือสถานการณ์อื่นๆ ตามที่กำหนดไว้ในมาตรา ๑๕๙๘/๗ และ ๑๕๙๘/๘""
}
```",0.0,0.0,0.0,0.0,0.0,0.0,0.7795327235916222
ถ้าผู้รับประกันภัยต้องคำพิพากษาให้เป็นคนล้มละลาย ผู้เอาประกันภัยต้องทำอย่างไร,ผู้เอาประกันภัยจะเรียกให้หาประกันอันสมควรให้แก่ตนก็ได้ หรือจะบอกเลิกสัญญาก็ได้,['876'],10,"['876', '877', '875', '888']",4802,เมื่อผู้รับประกันภัยต้องคำพิพากษาให้เป็นคนล้มละลาย ผู้เอาประกันภัยมีสิทธิที่จะเรียกให้หาประกันอันสมควรให้แก่ตน หรือจะบอกเลิกสัญญาประกันภัยก็ได้ (มาตรา ๘๗๖),มาตรา ๘๗๖,['876'],"```json
{
    ""sections"": ""มาตรา ๘๗๖"",
    ""ans"":""เมื่อผู้รับประกันภัยต้องคำพิพากษาให้เป็นคนล้มละลาย ผู้เอาประกันภัยมีสิทธิที่จะเรียกให้หาประกันอันสมควรให้แก่ตน หรือจะบอกเลิกสัญญาประกันภัยก็ได้ (มาตรา ๘๗๖)""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.9009862604379208
ถ้าผู้เป็นหุ้นส่วนให้ความเป็นเจ้าของในทรัพย์สินอันใดอันหนึ่งเป็นการลงหุ้นแล้วทรัพย์สินเกิดชำรุดบกพร่องต้องบังคับใช้ตามกฎหมายใด,ให้บังคับตามบทบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ ว่าด้วยซื้อขาย,['1030'],10,"['1029', '1030', '1031', '1028', '721', '1054']",3797,เมื่อผู้เป็นหุ้นส่วนให้ความเป็นเจ้าของในทรัพย์สินอันใดอันหนึ่งเป็นการลงหุ้นแล้วทรัพย์สินเกิดชำรุดบกพร่อง จะต้องบังคับใช้ตามบทบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ ว่าด้วยเช่าทรัพย์ (มาตรา 1029) หรือซื้อขาย (มาตรา 1030) ขึ้นอยู่กับว่าผู้เป็นหุ้นส่วนให้ความเป็นเจ้าของทรัพย์สินนั้นเป็นการลงหุ้นด้วยลักษณะใด,"มาตรา 1029, มาตรา 1030","['1029', '1030']","```json
{
    ""sections"":""มาตรา 1029, มาตรา 1030"",
    ""ans"":""เมื่อผู้เป็นหุ้นส่วนให้ความเป็นเจ้าของในทรัพย์สินอันใดอันหนึ่งเป็นการลงหุ้นแล้วทรัพย์สินเกิดชำรุดบกพร่อง จะต้องบังคับใช้ตามบทบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ ว่าด้วยเช่าทรัพย์ (มาตรา 1029) หรือซื้อขาย (มาตรา 1030) ขึ้นอยู่กับว่าผู้เป็นหุ้นส่วนให้ความเป็นเจ้าของทรัพย์สินนั้นเป็นการลงหุ้นด้วยลักษณะใด""
}
```",1.0,0.5,1.0,1.0,0.5,1.0,0.7364699607661697
ถ้ามีการรับชำระหนี้ตามสัญญา นายหน้ามีอำนาจจะรับชำระหนี้ไว้หรือไม่,รับชำระหนี้อันจะต้องชำระตามสัญญานั้น ให้สันนิษฐานไว้ก่อนว่านายหน้าย่อมไม่มีอำนาจที่จะรับแทนผู้เป็นคู่สัญญา,['849'],10,"['846', '701', '314', '315', '316', '372', '371']",3680,ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 315 การชำระหนี้ต้องทำแก่ตัวเจ้าหนี้หรือแก่บุคคลผู้มีอำนาจรับชำระหนี้แทนเจ้าหนี้ และมาตรา 316 หากการชำระหนี้นั้นได้ทำแก่ผู้ครองตามปรากฏแห่งสิทธิในมูลหนี้ การชำระหนี้นั้นจะสมบูรณ์ก็แต่เมื่อบุคคลผู้มีอำนาจรับชำระหนี้นั้น ถ้าเจ้าหนี้ให้สัตยาบัน ดังนั้น นายหน้าจึงไม่สามารถรับชำระหนี้แทนเจ้าหนี้ได้ เว้นแต่เจ้าหนี้จะมอบอำนาจให้ หรือมีข้อตกลงอื่น ๆ ที่ระบุไว้เป็นพิเศษ,"มาตรา 315, มาตรา 316","['315', '316']","```json
{
    ""sections"": ""มาตรา 315, มาตรา 316"",
    ""ans"":""ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 315 การชำระหนี้ต้องทำแก่ตัวเจ้าหนี้หรือแก่บุคคลผู้มีอำนาจรับชำระหนี้แทนเจ้าหนี้ และมาตรา 316 หากการชำระหนี้นั้นได้ทำแก่ผู้ครองตามปรากฏแห่งสิทธิในมูลหนี้ การชำระหนี้นั้นจะสมบูรณ์ก็แต่เมื่อบุคคลผู้มีอำนาจรับชำระหนี้นั้น ถ้าเจ้าหนี้ให้สัตยาบัน ดังนั้น นายหน้าจึงไม่สามารถรับชำระหนี้แทนเจ้าหนี้ได้ เว้นแต่เจ้าหนี้จะมอบอำนาจให้ หรือมีข้อตกลงอื่น ๆ ที่ระบุไว้เป็นพิเศษ""
}
```",0.0,0.0,0.0,0.0,0.0,0.0,0.8220411219144833
การเช่าถือสวนมีระยะเวลากี่ปี,การเช่าถือสวนมีระยะเวลาหนึ่งปี,['565'],10,"['564', '565', '566', '540', '541', '542', '538', '539']",4710,การเช่าถือสวนโดยทั่วไปให้สันนิษฐานว่าเช่ากันปีหนึ่ง (มาตรา 565) แต่สัญญาเช่าอสังหาริมทรัพย์ห้ามเช่ากันเกิน 30 ปี (มาตรา 540) หากทำสัญญากันเกิน 30 ปี ให้ลดลงเหลือ 30 ปี และสามารถต่อสัญญาได้ แต่ต้องไม่เกิน 30 ปีนับแต่วันต่อสัญญา (มาตรา 540) นอกจากนี้ สัญญาเช่าสามารถทำกันเป็นกำหนดตลอดอายุของผู้ให้เช่าหรือผู้เช่าได้ (มาตรา 541) หากเป็นการเช่าอสังหาริมทรัพย์ที่มีกำหนดเกิน 3 ปี หรือตลอดอายุ จะต้องทำเป็นหนังสือและจดทะเบียนต่อพนักงานเจ้าหน้าที่ มิฉะนั้นจะฟ้องร้องบังคับคดีได้เพียง 3 ปีเท่านั้น (มาตรา 538),"มาตรา 565, มาตรา 540, มาตรา 541, มาตรา 538","['565', '540', '541', '538']","```json
{
    ""sections"": ""มาตรา 565, มาตรา 540, มาตรา 541, มาตรา 538"",
    ""ans"":""การเช่าถือสวนโดยทั่วไปให้สันนิษฐานว่าเช่ากันปีหนึ่ง (มาตรา 565) แต่สัญญาเช่าอสังหาริมทรัพย์ห้ามเช่ากันเกิน 30 ปี (มาตรา 540) หากทำสัญญากันเกิน 30 ปี ให้ลดลงเหลือ 30 ปี และสามารถต่อสัญญาได้ แต่ต้องไม่เกิน 30 ปีนับแต่วันต่อสัญญา (มาตรา 540) นอกจากนี้ สัญญาเช่าสามารถทำกันเป็นกำหนดตลอดอายุของผู้ให้เช่าหรือผู้เช่าได้ (มาตรา 541) หากเป็นการเช่าอสังหาริมทรัพย์ที่มีกำหนดเกิน 3 ปี หรือตลอดอายุ จะต้องทำเป็นหนังสือและจดทะเบียนต่อพนักงานเจ้าหน้าที่ มิฉะนั้นจะฟ้องร้องบังคับคดีได้เพียง 3 ปีเท่านั้น (มาตรา 538)""
}
```",1.0,1.0,1.0,1.0,0.5,1.0,0.8359090612136357
ผู้เยาว์สามารถเป็นบุตรบุญธรรมของคนหลายคนในเวลาเดียวกันได้หรือไม่,สามารถเป็นบุตรบุญธรรมบุคคลอื่นได้มากกว่าหนึ่งคนแต่ต้องเป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรมถ้าไม่เข้าเงื่อนไขทั้งหมดนี้เป็นไม่ได้ คำอธิบายขยายความเพิ่มเติมตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/26 ผู้เยาว์ที่เป็นบุตรบุญธรรมของบุคคลใดอยู่จะเป็นบุตรบุญธรรมของบุคคลอื่นอีกในขณะเดียวกันไม่ได้ เว้นแต่เป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรม,"['1598/26', '1598/21', '1598']",10,"['1598/26', '1598/27', '1598/25', '1598/22', '1598/23', '1598/20', '1598/21']",3939,ผู้เยาว์ที่เป็นบุตรบุญธรรมของบุคคลใดอยู่ จะเป็นบุตรบุญธรรมของบุคคลอื่นในขณะเดียวกันไม่ได้ (มาตรา 1598/26) ยกเว้นกรณีเป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรม นอกจากนี้ ผู้จะรับบุตรบุญธรรมหรือผู้จะเป็นบุตรบุญธรรม ถ้ามีคู่สมรสอยู่ต้องได้รับความยินยอมจากคู่สมรสก่อน (มาตรา 1598/25),"มาตรา 1598/26, มาตรา 1598/25","['1598/26', '1598/25']","```json
{
    ""sections"":""มาตรา 1598/26, มาตรา 1598/25"",
    ""ans"":""ผู้เยาว์ที่เป็นบุตรบุญธรรมของบุคคลใดอยู่ จะเป็นบุตรบุญธรรมของบุคคลอื่นในขณะเดียวกันไม่ได้ (มาตรา 1598/26) ยกเว้นกรณีเป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรม นอกจากนี้ ผู้จะรับบุตรบุญธรรมหรือผู้จะเป็นบุตรบุญธรรม ถ้ามีคู่สมรสอยู่ต้องได้รับความยินยอมจากคู่สมรสก่อน (มาตรา 1598/25)""
}
```",0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.9306904317472613
ลูกหนี้จะถือเอาประโยชน์ของเรื่องเวลาเริ่มต้นหรือเวลาสิ้นสุดไม่ได้ในกรณีใดบ้าง,(1) ลูกหนี้ถูกศาลสั่งพิทักษ์ทรัพย์เด็ดขาดตามกฎหมายว่าด้วยล้มละลาย (2) ลูกหนี้ไม่ให้ประกันในเมื่อจำต้องให้ (3) ลูกหนี้ได้ทำลาย หรือทำให้ลดน้อยถอยลงซึ่งประกันอันได้ให้ไว้ (4) ลูกหนี้นำทรัพย์สินของบุคคลอื่นมาให้เป็นประกันโดยเจ้าของทรัพย์สินนั้นไม่ได้ยินยอมด้วย,['193'],10,"['193', '192', '211', '212', '193/15']",3615,"ลูกหนี้จะไม่ถือเอาประโยชน์ของเรื่องเวลาเริ่มต้นหรือเวลาสิ้นสุดได้ในกรณีที่ลูกหนี้ถูกศาลสั่งพิทักษ์ทรัพย์เด็ดขาด, ไม่ให้ประกันเมื่อจำเป็นต้องให้, ทำลายหรือลดน้อยถอยลงซึ่งประกันที่ได้ให้ไว้, นำทรัพย์สินของผู้อื่นมาให้เป็นประกันโดยที่เจ้าของทรัพย์สินนั้นไม่ได้ยินยอม, หรือเจ้าหนี้ได้กระทำการอื่นใดอันมีผลเป็นอย่างเดียวกับการฟ้องคดี (มาตรา ๑๙๓)",มาตรา ๑๙๓,['193'],"```json
{
    ""sections"": ""มาตรา ๑๙๓"",
    ""ans"":""ลูกหนี้จะไม่ถือเอาประโยชน์ของเรื่องเวลาเริ่มต้นหรือเวลาสิ้นสุดได้ในกรณีที่ลูกหนี้ถูกศาลสั่งพิทักษ์ทรัพย์เด็ดขาด, ไม่ให้ประกันเมื่อจำเป็นต้องให้, ทำลายหรือลดน้อยถอยลงซึ่งประกันที่ได้ให้ไว้, นำทรัพย์สินของผู้อื่นมาให้เป็นประกันโดยที่เจ้าของทรัพย์สินนั้นไม่ได้ยินยอม, หรือเจ้าหนี้ได้กระทำการอื่นใดอันมีผลเป็นอย่างเดียวกับการฟ้องคดี (มาตรา ๑๙๓)""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.8320771392655899
ข้อสัญญาว่าจะไม่รับผิดของผู้ขายไม่ครอบคลุมความรับผิดไปถึงกรณีใด,ไม่อาจคุ้มความรับผิดของผู้ขายในผลของการอันผู้ขายได้กระทำไปเอง หรือผลแห่งข้อความจริงอันผู้ขายได้รู้อยู่แล้วและปกปิด,['485'],10,"['483', '484', '485', '486', '473', '474']",4439,ข้อสัญญาว่าจะไม่รับผิดของผู้ขายจะไม่ครอบคลุมความรับผิดในผลของการต่างราคา เว้นแต่จะได้ระบุไว้เป็นอย่างอื่น (มาตรา ๔๘๔) นอกจากนี้ ยังไม่อาจคุ้มความรับผิดของผู้ขายในผลของการที่ผู้ขายได้กระทำไปเอง หรือผลแห่งข้อความจริงที่ผู้ขายได้รู้อยู่แล้วและปกปิดเสีย (มาตรา ๔๘๕) และผู้ขายจะไม่ต้องรับผิดหากผู้ซื้อรู้อยู่แล้วในเวลาซื้อขายว่ามีความชำรุดบกพร่อง หรือความชำรุดบกพร่องนั้นเป็นอันเห็นประจักษ์แล้วในเวลาส่งมอบ และผู้ซื้อรับเอาทรัพย์สินนั้นไว้โดยมิได้ยินดี หรือทรัพย์สินนั้นได้ขายทอดตลาด (มาตรา ๔๗๓),"มาตรา 484, มาตรา 485, มาตรา 473","['484', '485', '473']","```json
{
    ""sections"": ""มาตรา 484, มาตรา 485, มาตรา 473"",
    ""ans"":""ข้อสัญญาว่าจะไม่รับผิดของผู้ขายจะไม่ครอบคลุมความรับผิดในผลของการต่างราคา เว้นแต่จะได้ระบุไว้เป็นอย่างอื่น (มาตรา ๔๘๔) นอกจากนี้ ยังไม่อาจคุ้มความรับผิดของผู้ขายในผลของการที่ผู้ขายได้กระทำไปเอง หรือผลแห่งข้อความจริงที่ผู้ขายได้รู้อยู่แล้วและปกปิดเสีย (มาตรา ๔๘๕) และผู้ขายจะไม่ต้องรับผิดหากผู้ซื้อรู้อยู่แล้วในเวลาซื้อขายว่ามีความชำรุดบกพร่อง หรือความชำรุดบกพร่องนั้นเป็นอันเห็นประจักษ์แล้วในเวลาส่งมอบ และผู้ซื้อรับเอาทรัพย์สินนั้นไว้โดยมิได้ยินดี หรือทรัพย์สินนั้นได้ขายทอดตลาด (มาตรา ๔๗๓)""
}
```",1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.841819732510129
ภาระจำยอมซึ่งเจ้าของรวมที่ดินที่ได้รับผลประโยชน์จากที่ดินที่เป็นภาระจำยอมคนหนึ่งได้มา ผลทางกฎหมายเป็นอย่างไร,ถือว่าเจ้าของรวมได้มาหรือใช้อยู่ด้วยกันทุกคน,['1396'],10,"['1315', '1316', '1361', '1362', '1401', '1402', '1395', '1396', '1397']",4445,เมื่อเจ้าของรวมที่ดินที่ได้รับผลประโยชน์จากที่ดินที่เป็นภาระจำยอมคนหนึ่งได้มา ผลทางกฎหมายคือ เจ้าของรวมคนอื่น ๆ ก็ถือว่าได้มาหรือใช้อยู่ด้วยกันทุกคน (มาตรา 1396) นอกจากนี้ เจ้าของรวมแต่ละคนมีสิทธิจำหน่าย จำนำ จำนอง หรือก่อให้เกิดภาระติดพันส่วนของตนได้ (มาตรา 1361) แต่การกระทำดังกล่าวต้องได้รับความยินยอมจากเจ้าของรวมทุกคน หรือหากเจ้าของรวมคนใดจำหน่ายโดยไม่ได้รับความยินยอม แต่ภายหลังได้เป็นเจ้าของทรัพย์สินแต่ผู้เดียว นิติกรรมนั้นจะเป็นอันสมบูรณ์ (มาตรา 1361) และเจ้าของรวมแต่ละคนต้องช่วยเจ้าของรวมคนอื่น ๆ ตามส่วนของตนในการออกค่าจัดการ ค่าภาระ (มาตรา 1362),"มาตรา 1361, มาตรา 1362, มาตรา 1396","['1361', '1362', '1396']","```json
{
    ""sections"": ""มาตรา 1361, มาตรา 1362, มาตรา 1396"",
    ""ans"":""เมื่อเจ้าของรวมที่ดินที่ได้รับผลประโยชน์จากที่ดินที่เป็นภาระจำยอมคนหนึ่งได้มา ผลทางกฎหมายคือ เจ้าของรวมคนอื่น ๆ ก็ถือว่าได้มาหรือใช้อยู่ด้วยกันทุกคน (มาตรา 1396) นอกจากนี้ เจ้าของรวมแต่ละคนมีสิทธิจำหน่าย จำนำ จำนอง หรือก่อให้เกิดภาระติดพันส่วนของตนได้ (มาตรา 1361) แต่การกระทำดังกล่าวต้องได้รับความยินยอมจากเจ้าของรวมทุกคน หรือหากเจ้าของรวมคนใดจำหน่ายโดยไม่ได้รับความยินยอม แต่ภายหลังได้เป็นเจ้าของทรัพย์สินแต่ผู้เดียว นิติกรรมนั้นจะเป็นอันสมบูรณ์ (มาตรา 1361) และเจ้าของรวมแต่ละคนต้องช่วยเจ้าของรวมคนอื่น ๆ ตามส่วนของตนในการออกค่าจัดการ ค่าภาระ (มาตรา 1362)""
}
```",1.0,0.3333333333333333,1.0,1.0,0.125,1.0,0.7644895167979854
ถ้าคู่สัญญาฝ่ายใดฝ่ายหนึ่งต้องการจะบอกเลิกสัญญาแต่ไม่ได้กำหนดไว้ในสัญญาจ้างว่าจะจ้างนานเท่าไร จะต้องบอกเลิกสัญญาอย่างไร,ฝ่ายใดฝ่ายหนึ่งจะเลิกสัญญาด้วยการบอกกล่าวล่วงหน้าเมื่อถึงหรือก่อนจะถึงกำหนดจ่ายสินจ้างคราวใดคราวหนึ่ง เพื่อให้มีผลเป็นการเลิกสัญญากันเมื่อถึงกำหนดจ่ายสินจ้างคราวถัดไปข้างหน้าก็อาจทำได้ แต่ไม่จำเป็นต้องบอกกล่าวล่วงหน้ากว่าสามเดือน,['582'],10,"['582', '393', '386', '387', '394', '579', '580', '581']",3543,หากคู่สัญญาไม่ได้กำหนดระยะเวลาในสัญญาว่าจะจ้างกันนานเท่าไร ฝ่ายใดฝ่ายหนึ่งสามารถบอกเลิกสัญญาได้ โดยแจ้งให้ทราบล่วงหน้าเมื่อถึงหรือก่อนถึงกำหนดจ่ายสินจ้างคราวใดคราวหนึ่ง เพื่อให้สัญญาเลิกกันเมื่อถึงกำหนดจ่ายสินจ้างคราวถัดไป หรืออาจกำหนดระยะเวลาพอสมควรแล้วบอกกล่าวได้ (มาตรา 582 และ มาตรา 393) อย่างไรก็ตาม หากไม่ได้รับคำบอกกล่าวเลิกสัญญาภายในระยะเวลาที่กำหนด สิทธิในการเลิกสัญญาก็เป็นอันระงับสิ้นไป,"มาตรา 582, มาตรา 393","['582', '393']","```json
{
    ""sections"": ""มาตรา 582, มาตรา 393"",
    ""ans"": ""หากคู่สัญญาไม่ได้กำหนดระยะเวลาในสัญญาว่าจะจ้างกันนานเท่าไร ฝ่ายใดฝ่ายหนึ่งสามารถบอกเลิกสัญญาได้ โดยแจ้งให้ทราบล่วงหน้าเมื่อถึงหรือก่อนถึงกำหนดจ่ายสินจ้างคราวใดคราวหนึ่ง เพื่อให้สัญญาเลิกกันเมื่อถึงกำหนดจ่ายสินจ้างคราวถัดไป หรืออาจกำหนดระยะเวลาพอสมควรแล้วบอกกล่าวได้ (มาตรา 582 และ มาตรา 393) อย่างไรก็ตาม หากไม่ได้รับคำบอกกล่าวเลิกสัญญาภายในระยะเวลาที่กำหนด สิทธิในการเลิกสัญญาก็เป็นอันระงับสิ้นไป""
}
```",1.0,1.0,1.0,1.0,1.0,1.0,0.9048776281589187
