question,answer,relevant_laws,sections_extracted
ถ้าผู้ิยู่ในปกครองได้ยินยอมในการกระทำของผู้ปกครองจะทำให้ผู้ปกครองหลุดพ้นจากความรับผิดหรือเปล่า,การที่ผู้อยู่ในปกครองได้ยินยอมด้วยนั้นไม่ได้คุ้มครองผู้ปกครองให้พ้นจากความรับผิด,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/5\nถ้าผู้อยู่ในปกครองรู้จักผิดชอบและมีอายุไม่ต่ำกว่าสิบห้าปีบริบูรณ์เมื่อผู้ปกครองจะทำกิจการใดที่สำคัญ ให้ปรึกษาหารือผู้อยู่ในปกครองก่อนเท่าที่จะทำได้\nการที่ผู้อยู่ในปกครองได้ยินยอมด้วยนั้นหาคุ้มผู้ปกครองให้พ้นจากความรับผิดไม่', 'section_num': '1598/5'}]","['1598/5', '1598']"
ถ้าผู้รับประกันภัยต้องคำพิพากษาให้เป็นคนล้มละลาย ผู้เอาประกันภัยต้องทำอย่างไร,ผู้เอาประกันภัยจะเรียกให้หาประกันอันสมควรให้แก่ตนก็ได้ หรือจะบอกเลิกสัญญาก็ได้,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 876\nถ้าผู้รับประกันภัยต้องคำพิพากษาให้เป็นคนล้มละลาย ผู้เอาประกันภัยจะเรียกให้หาประกันอันสมควรให้แก่ตนก็ได้ หรือจะบอกเลิกสัญญาเสียก็ได้\nถ้าผู้เอาประกันภัยต้องคำพิพากษาให้เป็นคนล้มละลาย ท่านให้ใช้วิธีเดียวกันนี้บังคับตามควรแก่เรื่อง แต่กระนั้นก็ดี ถ้าเบี้ยประกันภัยได้ส่งแล้วเต็มจำนวนเพื่ออายุประกันภัยเป็นระยะเวลามากน้อยเท่าใดไซร้ ท่านห้ามมิให้ผู้รับประกันภัยบอกเลิกสัญญาก่อนระยะเวลานั้นสุดลง', 'section_num': '876'}]",['876']
ถ้าผู้เป็นหุ้นส่วนให้ความเป็นเจ้าของในทรัพย์สินอันใดอันหนึ่งเป็นการลงหุ้นแล้วทรัพย์สินเกิดชำรุดบกพร่องต้องบังคับใช้ตามกฎหมายใด,ให้บังคับตามบทบัญญัติแห่งประมวลกฎหมายแพ่งและพาณิชย์ ว่าด้วยซื้อขาย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1030\nถ้าผู้เป็นหุ้นส่วนคนหนึ่งให้กรรมสิทธิ์ในทรัพย์สินอันใดอันหนึ่งเป็นการลงหุ้นด้วยไซร้ ความเกี่ยวพันระหว่างผู้เป็นหุ้นส่วนคนนั้นกับห้างหุ้นส่วนในเรื่องส่งมอบและซ่อมแซมก็ดี ความรับผิดเพื่อชำรุดบกพร่องก็ดี ความรับผิดเพื่อการรอนสิทธิก็ดี ข้อยกเว้นความรับผิดก็ดี ท่านให้บังคับตามบทบัญญัติแห่งประมวลกฎหมายนี้ ว่าด้วยซื้อขาย', 'section_num': '1030'}]",['1030']
ถ้ามีการรับชำระหนี้ตามสัญญา นายหน้ามีอำนาจจะรับชำระหนี้ไว้หรือไม่,รับชำระหนี้อันจะต้องชำระตามสัญญานั้น ให้สันนิษฐานไว้ก่อนว่านายหน้าย่อมไม่มีอำนาจที่จะรับแทนผู้เป็นคู่สัญญา,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 849\nการรับเงินหรือรับชำระหนี้อันจะพึงชำระตามสัญญานั้น ท่านให้สันนิษฐานไว้ก่อนว่านายหน้าย่อมไม่มีอำนาจที่จะรับแทนผู้เป็นคู่สัญญา', 'section_num': '849'}]",['849']
การเช่าถือสวนมีระยะเวลากี่ปี,การเช่าถือสวนมีระยะเวลาหนึ่งปี,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 565\nการเช่าถือสวนนั้น ท่านให้สันนิษฐานไว้ก่อนว่าเช่ากันปีหนึ่ง\nการเช่านาก็ให้สันนิษฐานไว้ก่อนว่าเช่ากันตลอดฤดูทำนาปีหนึ่ง', 'section_num': '565'}]",['565']
ผู้เยาว์สามารถเป็นบุตรบุญธรรมของคนหลายคนในเวลาเดียวกันได้หรือไม่,สามารถเป็นบุตรบุญธรรมบุคคลอื่นได้มากกว่าหนึ่งคนแต่ต้องเป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรมถ้าไม่เข้าเงื่อนไขทั้งหมดนี้เป็นไม่ได้ คำอธิบายขยายความเพิ่มเติมตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/26 ผู้เยาว์ที่เป็นบุตรบุญธรรมของบุคคลใดอยู่จะเป็นบุตรบุญธรรมของบุคคลอื่นอีกในขณะเดียวกันไม่ได้ เว้นแต่เป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรม,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1598/26\nผู้เยาว์ที่เป็นบุตรบุญธรรมของบุคคลใดอยู่จะเป็นบุตรบุญธรรมของบุคคลอื่นอีกในขณะเดียวกันไม่ได้ เว้นแต่เป็นบุตรบุญธรรมของคู่สมรสของผู้รับบุตรบุญธรรม\nถ้าคู่สมรสฝ่ายหนึ่งจะจดทะเบียนรับผู้เยาว์ซึ่งเป็นบุตรบุญธรรมของคู่สมรสอีกฝ่ายหนึ่งเป็นบุตรบุญธรรมของตนด้วยจะต้องได้รับความยินยอมของคู่สมรสซึ่งเป็นผู้รับบุตรบุญธรรมอยู่แล้วและมิให้นำมาตรา 1598/21 มาใช้บังคับ', 'section_num': '1598/26'}]","['1598/26', '1598/21', '1598']"
ลูกหนี้จะถือเอาประโยชน์ของเรื่องเวลาเริ่มต้นหรือเวลาสิ้นสุดไม่ได้ในกรณีใดบ้าง,(1) ลูกหนี้ถูกศาลสั่งพิทักษ์ทรัพย์เด็ดขาดตามกฎหมายว่าด้วยล้มละลาย (2) ลูกหนี้ไม่ให้ประกันในเมื่อจำต้องให้ (3) ลูกหนี้ได้ทำลาย หรือทำให้ลดน้อยถอยลงซึ่งประกันอันได้ให้ไว้ (4) ลูกหนี้นำทรัพย์สินของบุคคลอื่นมาให้เป็นประกันโดยเจ้าของทรัพย์สินนั้นไม่ได้ยินยอมด้วย,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 193\nในกรณีดังต่อไปนี้ ฝ่ายลูกหนี้จะถือเอาประโยชน์แห่งเงื่อนเวลาเริ่มต้นหรือเงื่อนเวลาสิ้นสุดมิได้\n(1) ลูกหนี้ถูกศาลสั่งพิทักษ์ทรัพย์เด็ดขาดตามกฎหมายว่าด้วยล้มละลาย\n(2) ลูกหนี้ไม่ให้ประกันในเมื่อจำต้องให้\n(3) ลูกหนี้ได้ทำลาย หรือทำให้ลดน้อยถอยลงซึ่งประกันอันได้ให้ไว้\n(4) ลูกหนี้นำทรัพย์สินของบุคคลอื่นมาให้เป็นประกันโดยเจ้าของทรัพย์สินนั้นมิได้ยินยอมด้วย', 'section_num': '193'}]",['193']
ข้อสัญญาว่าจะไม่รับผิดของผู้ขายไม่ครอบคลุมความรับผิดไปถึงกรณีใด,ไม่อาจคุ้มความรับผิดของผู้ขายในผลของการอันผู้ขายได้กระทำไปเอง หรือผลแห่งข้อความจริงอันผู้ขายได้รู้อยู่แล้วและปกปิด,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 485\nข้อสัญญาว่าจะไม่ต้องรับผิดนั้น ไม่อาจคุ้มความรับผิดของผู้ขายในผลของการอันผู้ขายได้กระทำไปเอง หรือผลแห่งข้อความจริงอันผู้ขายได้รู้อยู่แล้วและปกปิดเสีย', 'section_num': '485'}]",['485']
ภาระจำยอมซึ่งเจ้าของรวมที่ดินที่ได้รับผลประโยชน์จากที่ดินที่เป็นภาระจำยอมคนหนึ่งได้มา ผลทางกฎหมายเป็นอย่างไร,ถือว่าเจ้าของรวมได้มาหรือใช้อยู่ด้วยกันทุกคน,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1396\nภาระจำยอมซึ่งเจ้าของรวมแห่งสามยทรัพย์คนหนึ่งได้มา หรือใช้อยู่นั้น ท่านให้ถือว่าเจ้าของรวมได้มาหรือใช้อยู่ด้วยกันทุกคน', 'section_num': '1396'}]",['1396']
ถ้าคู่สัญญาฝ่ายใดฝ่ายหนึ่งต้องการจะบอกเลิกสัญญาแต่ไม่ได้กำหนดไว้ในสัญญาจ้างว่าจะจ้างนานเท่าไร จะต้องบอกเลิกสัญญาอย่างไร,ฝ่ายใดฝ่ายหนึ่งจะเลิกสัญญาด้วยการบอกกล่าวล่วงหน้าเมื่อถึงหรือก่อนจะถึงกำหนดจ่ายสินจ้างคราวใดคราวหนึ่ง เพื่อให้มีผลเป็นการเลิกสัญญากันเมื่อถึงกำหนดจ่ายสินจ้างคราวถัดไปข้างหน้าก็อาจทำได้ แต่ไม่จำเป็นต้องบอกกล่าวล่วงหน้ากว่าสามเดือน,"[{'law_name': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section_content': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 582\nถ้าคู่สัญญาไม่ได้กำหนดลงไว้ในสัญญาว่าจะจ้างกันนานเท่าไร ท่านว่าฝ่ายใดฝ่ายหนึ่งจะเลิกสัญญาด้วยการบอกกล่าวล่วงหน้าในเมื่อถึงหรือก่อนจะถึงกำหนดจ่ายสินจ้างคราวใดคราวหนึ่ง เพื่อให้เป็นผลเลิกสัญญากันเมื่อถึงกำหนดจ่ายสินจ้างคราวถัดไปข้างหน้าก็อาจทำได้ แต่ไม่จำต้องบอกกล่าวล่วงหน้ากว่าสามเดือน\nอนึ่ง ในเมื่อบอกกล่าวดังว่านี้ นายจ้างจะจ่ายสินจ้างแก่ลูกจ้างเสียให้ครบจำนวนที่จะต้องจ่ายจนถึงเวลาเลิกสัญญาตามกำหนดที่บอกกล่าวนั้นทีเดียว แล้วปล่อยลูกจ้างจากงานเสียในทันทีก็อาจทำได้', 'section_num': '582'}]",['582']
